"airline";"flight number";"origin airport";"destination airport";"origin city";"destination city";"origin country";"destination country";"STD";"STA";"UTC diff origin";"UTC diff destination";"days of operation";"AC type";"seat capacity"
"XY";333;"CDG";"FCO";"PAR";"ROM";"FR";"IT";"11:35";"13:40";120;120;"1234567";321;200
"XY";317;"CDG";"FCO";"PAR";"ROM";"FR";"IT";"07:15";"09:20";120;120;"1234567";321;200
"XY";313;"CDG";"LIN";"PAR";"MIL";"FR";"IT";"15:15";"16:45";120;120;"1234567";"32S";168
"XY";311;"CDG";"LIN";"PAR";"MIL";"FR";"IT";"20:40";"22:10";120;120;"12345.7";"32S";168
"XY";319;"CDG";"FCO";"PAR";"ROM";"FR";"IT";"09:25";"11:30";120;120;"1234567";"32S";168
"XY";325;"CDG";"FCO";"PAR";"ROM";"FR";"IT";"13:45";"15:50";120;120;"1234567";"32S";168
"XY";305;"CDG";"LIN";"PAR";"MIL";"FR";"IT";"09:35";"11:05";120;120;"123456.";"32S";168
"XY";687;"CCS";"FCO";"CCS";"ROM";"VE";"IT";"19:55";"12:30";-270;120;"1234567";330;243
"XY";895;"CAI";"FCO";"CAI";"ROM";"EG";"IT";"03:30";"07:00";120;120;"1234567";"32S";168
"XY";899;"CAI";"MXP";"CAI";"MIL";"EG";"IT";"19:05";"23:10";120;120;"1234567";"32S";168
"XY";897;"CAI";"FCO";"CAI";"ROM";"EG";"IT";"16:30";"20:00";120;120;"1234567";"32S";168
"XY";1567;"CAG";"LIN";"CAG";"MIL";"IT";"IT";"16:50";"18:10";120;120;"......7";"32S";168
"XY";1562;"CAG";"FCO";"CAG";"ROM";"IT";"IT";"14:30";"15:35";120;120;"1234567";319;138
"XY";1567;"CAG";"LIN";"CAG";"MIL";"IT";"IT";"16:50";"18:10";120;120;".....6.";320;167
"XY";1567;"CAG";"LIN";"CAG";"MIL";"IT";"IT";"15:50";"17:10";120;120;"12345..";320;167
"XY";479;"BUD";"FCO";"BUD";"ROM";"HU";"IT";"18:15";"20:00";120;120;"1234567";319;138
"XY";477;"BUD";"FCO";"BUD";"ROM";"HU";"IT";"07:15";"09:00";120;120;".2.4567";319;138
"XY";157;"BRU";"FCO";"BRU";"ROM";"BE";"IT";"07:00";"09:05";120;120;"1234567";321;200
"XY";159;"BRU";"FCO";"BRU";"ROM";"BE";"IT";"11:25";"13:30";120;120;"1234567";"32S";168
"XY";165;"BRU";"FCO";"BRU";"ROM";"BE";"IT";"15:55";"18:00";120;120;"1234567";"32S";168
"XY";151;"BRU";"LIN";"BRU";"MIL";"BE";"IT";"09:25";"10:55";120;120;"12345..";"E90";108
"XY";1616;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"16:45";"17:50";120;120;"1234567";319;138
"XY";1602;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"08:05";"09:10";120;120;"....5..";320;167
"XY";1606;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"18:55";"20:00";120;120;"12345.7";320;167
"XY";1604;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"10:25";"11:30";120;120;".....6.";320;167
"XY";1639;"BRI";"TRN";"BRI";"TRN";"IT";"IT";"09:55";"11:35";120;120;"1234567";319;138
"XY";1612;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"12:15";"13:20";120;120;"1234567";321;200
"XY";1614;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"06:30";"07:35";120;120;"1234567";319;138
"XY";1610;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"20:55";"22:00";120;120;".234567";321;200
"XY";1602;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"08:05";"09:10";120;120;"1234.67";"32S";168
"XY";1632;"BRI";"LIN";"BRI";"MIL";"IT";"IT";"21:00";"22:30";120;120;"12345..";"32S";168
"XY";1610;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"20:55";"22:00";120;120;"1......";"32S";168
"XY";1606;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"18:55";"20:00";120;120;".....6.";319;138
"XY";1604;"BRI";"FCO";"BRI";"ROM";"IT";"IT";"10:25";"11:30";120;120;"12345.7";319;138
"XY";615;"BOS";"FCO";"BOS";"ROM";"US";"IT";"23:20";"13:20";-240;120;"1234567";330;243
"XY";1316;"BLQ";"FCO";"BLQ";"ROM";"IT";"IT";"16:15";"17:15";120;120;"1234567";"E75";76
"XY";1314;"BLQ";"FCO";"BLQ";"ROM";"IT";"IT";"12:30";"13:30";120;120;"1234567";"32S";168
"XY";1342;"BLQ";"CTA";"BLQ";"CTA";"IT";"IT";"20:05";"21:40";120;120;"1234567";319;138
"XY";1312;"BLQ";"FCO";"BLQ";"ROM";"IT";"IT";"08:20";"09:20";120;120;"1234567";"E75";76
"XY";1344;"BLQ";"CTA";"BLQ";"CTA";"IT";"IT";"09:20";"10:55";120;120;"1234567";319;138
"XY";57;"BIO";"FCO";"BIO";"ROM";"ES";"IT";"12:55";"15:10";120;120;"......7";320;167
"XY";57;"BIO";"FCO";"BIO";"ROM";"ES";"IT";"12:55";"15:10";120;120;"..3....";"32S";168
"XY";823;"BEY";"FCO";"BEY";"ROM";"LB";"IT";"16:35";"19:10";180;120;".2..56.";"32S";168
"XY";827;"BEY";"FCO";"BEY";"ROM";"LB";"IT";"04:25";"07:00";180;120;"1.3.5.7";"32S";168
"XY";825;"BEY";"FCO";"BEY";"ROM";"LB";"IT";"20:05";"22:40";180;120;"....5..";"32S";168
"XY";825;"BEY";"FCO";"BEY";"ROM";"LB";"IT";"20:05";"22:40";180;120;"1.3....";321;200
"XY";597;"BEG";"FCO";"BEG";"ROM";"RS";"IT";"18:20";"19:50";120;120;"1234567";"E75";76
"XY";591;"BEG";"FCO";"BEG";"ROM";"RS";"IT";"12:05";"13:35";120;120;"1234567";"E75";76
"XY";1624;"BDS";"FCO";"BDS";"ROM";"IT";"IT";"12:20";"13:30";120;120;"1234567";"32S";168
"XY";1644;"BDS";"LIN";"BDS";"MIL";"IT";"IT";"21:35";"23:10";120;120;"12345.7";"32S";168
"XY";1620;"BDS";"FCO";"BDS";"ROM";"IT";"IT";"08:00";"09:10";120;120;"1234567";321;200
"XY";1622;"BDS";"FCO";"BDS";"ROM";"IT";"IT";"16:50";"18:00";120;120;"1234567";321;200
"XY";1634;"BDS";"FCO";"BDS";"ROM";"IT";"IT";"18:55";"20:05";120;120;"1234567";321;200
"XY";77;"BCN";"FCO";"BCN";"ROM";"ES";"IT";"11:45";"13:30";120;120;"1234567";"32S";168
"XY";69;"BCN";"FCO";"BCN";"ROM";"ES";"IT";"18:15";"20:00";120;120;"1234567";321;200
"XY";75;"BCN";"FCO";"BCN";"ROM";"ES";"IT";"07:15";"09:00";120;120;"..3....";321;200
"XY";81;"BCN";"LIN";"BCN";"MIL";"ES";"IT";"19:50";"21:25";120;120;"1234567";"32S";168
"XY";75;"BCN";"FCO";"BCN";"ROM";"ES";"IT";"07:15";"09:00";120;120;"12.4567";"32S";168
"XY";71;"BCN";"FCO";"BCN";"ROM";"ES";"IT";"19:20";"21:05";120;120;"1234567";"32S";168
"XY";853;"AUH";"FCO";"AUH";"ROM";"AE";"IT";"07:40";"12:10";240;120;"1.....7";330;243
"XY";855;"AUH";"FCO";"AUH";"ROM";"AE";"IT";"02:40";"07:10";240;120;"...4.6.";330;243
"XY";715;"ATH";"FCO";"ATH";"ROM";"GR";"IT";"14:05";"15:10";180;120;"1234567";"32S";168
"XY";717;"ATH";"FCO";"ATH";"ROM";"GR";"IT";"08:20";"09:25";180;120;"1234567";321;200
"XY";721;"ATH";"FCO";"ATH";"ROM";"GR";"IT";"19:05";"20:10";180;120;"1234567";321;200
"XY";719;"ATH";"FCO";"ATH";"ROM";"GR";"IT";"12:25";"13:30";180;120;"......7";"32S";168
"XY";719;"ATH";"FCO";"ATH";"ROM";"GR";"IT";"12:25";"13:30";180;120;"12345..";320;167
"XY";723;"ATH";"NAP";"ATH";"NAP";"GR";"IT";"13:50";"14:35";180;120;"1234567";"E75";76
"XY";719;"ATH";"FCO";"ATH";"ROM";"GR";"IT";"12:25";"13:30";180;120;".....6.";319;138
"XY";1128;"AOI";"FCO";"AOI";"ROM";"IT";"IT";"12:20";"13:10";120;120;"1234567";"E75";76
"XY";1126;"AOI";"FCO";"AOI";"ROM";"IT";"IT";"08:10";"09:00";120;120;"123456.";"E75";76
"XY";1130;"AOI";"FCO";"AOI";"ROM";"IT";"IT";"16:15";"17:05";120;120;"1234567";"E75";76
"XY";121;"AMS";"LIN";"AMS";"MIL";"NL";"IT";"12:15";"13:55";120;120;"1234567";"32S";168
"XY";113;"AMS";"LIN";"AMS";"MIL";"NL";"IT";"20:15";"21:55";120;120;"1234567";"32S";168
"XY";107;"AMS";"FCO";"AMS";"ROM";"NL";"IT";"11:25";"13:40";120;120;"1234567";321;200
"XY";109;"AMS";"FCO";"AMS";"ROM";"NL";"IT";"13:25";"15:40";120;120;"1234567";321;200
"XY";111;"AMS";"FCO";"AMS";"ROM";"NL";"IT";"18:05";"20:20";120;120;"1234567";"32S";168
"XY";821;"AMM";"FCO";"AMM";"ROM";"JO";"IT";"20:05";"22:45";180;120;"1..4...";"32S";168
"XY";810;"AMM";"FCO";"AMM";"ROM";"JO";"IT";"04:20";"07:00";180;120;"...4..7";"32S";168
"XY";801;"ALG";"FCO";"ALG";"ROM";"DZ";"IT";"15:05";"17:50";60;120;".....6.";320;167
"XY";803;"ALG";"FCO";"ALG";"ROM";"DZ";"IT";"03:55";"06:40";60;120;"1234567";319;138
"XY";801;"ALG";"FCO";"ALG";"ROM";"DZ";"IT";"15:05";"17:50";60;120;"12345.7";319;138
"XY";91;"AGP";"FCO";"AGP";"ROM";"ES";"IT";"13:25";"15:50";120;120;"...4567";319;138
"XY";93;"AGP";"FCO";"AGP";"ROM";"ES";"IT";"05:50";"08:15";120;120;"..3...7";319;138
"XY";91;"AGP";"FCO";"AGP";"ROM";"ES";"IT";"13:25";"15:50";120;120;"12.....";"32S";168
"XY";93;"AGP";"FCO";"AGP";"ROM";"ES";"IT";"05:50";"08:15";120;120;"...4...";"32S";168
"XY";845;"ACC";"FCO";"ACC";"ROM";"GH";"IT";"23:35";"07:10";0;120;"1.3..6.";330;243
